age,job,marital,education,default,housing,loan,contact,day_of_week,duration,campaign,previous,emp.var.rate,poutcome,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
56,0.108,1,0.087,0,0,0,0,0,261,1,0,0,1,93.994,-36.4,4.857,5191,0
57,0.074,1,0.11,1,0,0,0,0,149,1,0,0,1,93.994,-36.4,4.857,5191,0
37,0.074,1,0.11,0,1,0,0,0,226,1,0,0,1,93.994,-36.4,4.857,5191,0
40,0.157,1,0.087,0,0,0,0,0,151,1,0,0,1,93.994,-36.4,4.857,5191,0
56,0.074,1,0.11,0,0,1,0,0,307,1,0,0,1,93.994,-36.4,4.857,5191,0
45,0.074,1,0.087,1,0,0,0,0,198,1,0,0,1,93.994,-36.4,4.857,5191,0
59,0.157,1,0.11,0,0,0,0,0,139,1,0,0,1,93.994,-36.4,4.857,5191,0
41,0.074,1,0.138,1,0,0,0,0,217,1,0,0,1,93.994,-36.4,4.857,5191,0
24,0.108,0,0.11,0,1,0,0,0,380,1,0,0,1,93.994,-36.4,4.857,5191,0
25,0.074,0,0.11,0,1,0,0,0,50,1,0,0,1,93.994,-36.4,4.857,5191,0
41,0.074,1,0.138,1,0,0,0,0,55,1,0,0,1,93.994,-36.4,4.857,5191,0
25,0.074,0,0.11,0,1,0,0,0,222,1,0,0,1,93.994,-36.4,4.857,5191,0
29,0.074,0,0.11,0,0,1,0,0,137,1,0,0,1,93.994,-36.4,4.857,5191,0
57,0.108,1,0.087,0,1,0,0,0,293,1,0,0,1,93.994,-36.4,4.857,5191,0
35,0.074,1,0.087,0,1,0,0,0,146,1,0,0,1,93.994,-36.4,4.857,5191,0
54,0.157,1,0.087,1,1,1,0,0,174,1,0,0,1,93.994,-36.4,4.857,5191,0
35,0.074,1,0.087,0,1,0,0,0,312,1,0,0,1,93.994,-36.4,4.857,5191,0
46,0.074,1,0.087,1,1,1,0,0,440,1,0,0,1,93.994,-36.4,4.857,5191,0
50,0.074,1,0.087,0,1,1,0,0,353,1,0,0,1,93.994,-36.4,4.857,5191,0
39,0.108,0,0.087,1,0,0,0,0,195,1,0,0,1,93.994,-36.4,4.857,5191,0
30,0.157,1,0.11,0,0,0,0,0,38,1,0,0,1,93.994,-36.4,4.857,5191,0
55,0.074,1,0.087,1,1,0,0,0,262,1,0,0,1,93.994,-36.4,4.857,5191,0
55,0.157,0,0.11,0,1,0,0,0,342,1,0,0,1,93.994,-36.4,4.857,5191,0
41,0.108,0,0.11,0,1,0,0,0,181,1,0,0,1,93.994,-36.4,4.857,5191,0
37,0.157,1,0.11,0,1,0,0,0,172,1,0,0,1,93.994,-36.4,4.857,5191,0
35,0.108,1,0.138,0,0,1,0,0,99,1,0,0,1,93.994,-36.4,4.857,5191,0
59,0.108,1,0.138,0,1,0,0,0,93,1,0,0,1,93.994,-36.4,4.857,5191,0
39,0.108,1,0.087,1,0,0,0,0,233,1,0,0,1,93.994,-36.4,4.857,5191,0
54,0.108,0,0.138,1,0,0,0,0,255,2,0,0,1,93.994,-36.4,4.857,5191,0
55,0.108,1,0.138,1,0,1,0,0,362,1,0,0,1,93.994,-36.4,4.857,5191,0
46,0.157,1,0.138,0,0,0,0,0,348,1,0,0,1,93.994,-36.4,4.857,5191,0
59,0.108,1,0.138,0,1,0,0,0,386,1,0,0,1,93.994,-36.4,4.857,5191,0
49,0.074,1,0.138,0,0,0,0,0,73,1,0,0,1,93.994,-36.4,4.857,5191,0
54,0.108,1,0.087,1,1,0,0,0,230,1,0,0,1,93.994,-36.4,4.857,5191,0
54,0.074,1,0.087,0,0,0,0,0,208,1,0,0,1,93.994,-36.4,4.857,5191,0
55,0.108,1,0.087,1,1,0,0,0,336,1,0,0,1,93.994,-36.4,4.857,5191,0
34,0.074,1,0.11,0,0,0,0,0,365,1,0,0,1,93.994,-36.4,4.857,5191,0
52,0.108,1,0.087,0,1,0,0,0,1666,1,0,0,1,93.994,-36.4,4.857,5191,0
41,0.157,1,0.138,0,1,0,0,0,577,1,0,0,1,93.994,-36.4,4.857,5191,0
56,0.108,1,0.087,0,1,0,0,0,137,1,0,0,1,93.994,-36.4,4.857,5191,0
58,0.108,0,0.138,0,1,0,0,0,366,1,0,0,1,93.994,-36.4,4.857,5191,0
32,0.074,1,0.11,0,1,0,0,0,314,1,0,0,1,93.994,-36.4,4.857,5191,0
38,0.157,0,0.11,0,0,0,0,0,160,1,0,0,1,93.994,-36.4,4.857,5191,0
57,0.157,1,0.138,0,0,1,0,0,212,1,0,0,1,93.994,-36.4,4.857,5191,0
44,0.157,1,0.138,1,1,0,0,0,188,1,0,0,1,93.994,-36.4,4.857,5191,0
42,0.108,0,0.11,1,0,0,0,0,22,1,0,0,1,93.994,-36.4,4.857,5191,0
57,0.157,1,0.138,0,1,1,0,0,616,1,0,0,1,93.994,-36.4,4.857,5191,0
40,0.074,1,0.087,0,0,1,0,0,178,1,0,0,1,93.994,-36.4,4.857,5191,0
35,0.157,1,0.138,0,1,0,0,0,355,1,0,0,1,93.994,-36.4,4.857,5191,0
45,0.074,1,0.087,0,1,0,0,0,225,2,0,0,1,93.994,-36.4,4.857,5191,0
54,0.157,1,0.11,0,0,0,0,0,160,1,0,0,1,93.994,-36.4,4.857,5191,0
39,0.108,1,0.087,0,0,1,0,0,266,1,0,0,1,93.994,-36.4,4.857,5191,0
60,0.157,1,0.11,0,0,0,0,0,253,1,0,0,1,93.994,-36.4,4.857,5191,0
53,0.157,0,0.11,0,0,0,0,0,179,1,0,0,1,93.994,-36.4,4.857,5191,0
55,0.074,1,0.087,1,0,0,0,0,269,2,0,0,1,93.994,-36.4,4.857,5191,0
55,0.108,1,0.11,1,1,0,0,0,135,1,0,0,1,93.994,-36.4,4.857,5191,0
50,0.108,1,0.138,1,0,1,0,0,161,1,0,0,1,93.994,-36.4,4.857,5191,0
45,0.074,1,0.11,1,1,0,0,0,787,1,0,0,1,93.994,-36.4,4.857,5191,0
55,0.157,1,0.11,1,1,1,0,0,145,1,0,0,1,93.994,-36.4,4.857,5191,0
25,0.108,0,0.138,0,1,0,0,0,174,1,0,0,1,93.994,-36.4,4.857,5191,0
47,0.074,1,0.138,1,0,0,0,0,449,1,0,0,1,93.994,-36.4,4.857,5191,0
51,0.074,1,0.087,0,1,0,0,0,812,1,0,0,1,93.994,-36.4,4.857,5191,0
42,0.074,1,0.087,1,1,0,0,0,164,1,0,0,1,93.994,-36.4,4.857,5191,0
42,0.074,1,0.087,1,0,0,0,0,366,1,0,0,1,93.994,-36.4,4.857,5191,0
48,0.157,1,0.11,0,0,0,0,0,357,1,0,0,1,93.994,-36.4,4.857,5191,0
37,0.157,1,0.138,0,0,0,0,0,232,1,0,0,1,93.994,-36.4,4.857,5191,0
44,0.074,0,0.087,0,1,0,0,0,91,1,0,0,1,93.994,-36.4,4.857,5191,0
33,0.157,1,0.138,0,1,0,0,0,273,1,0,0,1,93.994,-36.4,4.857,5191,0
56,0.157,1,0.087,0,1,0,0,0,158,2,0,0,1,93.994,-36.4,4.857,5191,0
44,0.074,0,0.087,1,1,1,0,0,177,1,0,0,1,93.994,-36.4,4.857,5191,0
41,0.108,1,0.087,0,0,0,0,0,200,1,0,0,1,93.994,-36.4,4.857,5191,0
44,0.108,1,0.138,0,1,0,0,0,172,1,0,0,1,93.994,-36.4,4.857,5191,0
47,0.157,1,0.138,1,1,0,0,0,176,1,0,0,1,93.994,-36.4,4.857,5191,0
57,0.108,1,0.138,1,0,0,0,0,211,1,0,0,1,93.994,-36.4,4.857,5191,0
37,0.157,1,0.138,1,1,0,0,0,214,1,0,0,1,93.994,-36.4,4.857,5191,0
41,0.074,1,0.087,1,1,0,0,0,1575,1,0,0,1,93.994,-36.4,4.857,5191,1
55,0.108,1,0.138,0,0,0,0,0,349,1,0,0,1,93.994,-36.4,4.857,5191,0
33,0.074,1,0.11,1,1,0,0,0,337,2,0,0,1,93.994,-36.4,4.857,5191,0
55,0.108,1,0.138,1,1,0,0,0,272,1,0,0,1,93.994,-36.4,4.857,5191,0
42,0.074,1,0.087,1,0,0,0,0,208,1,0,0,1,93.994,-36.4,4.857,5191,0
50,0.074,1,0.087,1,1,0,0,0,193,1,0,0,1,93.994,-36.4,4.857,5191,0
51,0.074,1,0.087,1,0,1,0,0,212,1,0,0,1,93.994,-36.4,4.857,5191,0
38,0.157,1,0.11,1,0,0,0,0,165,2,0,0,1,93.994,-36.4,4.857,5191,0
49,0.074,1,0.138,1,1,0,0,0,1042,1,0,0,1,93.994,-36.4,4.857,5191,1
38,0.108,0,0.138,0,0,1,0,0,20,1,0,0,1,93.994,-36.4,4.857,5191,0
31,0.157,1,0.11,0,0,0,0,0,246,1,0,0,1,93.994,-36.4,4.857,5191,0
41,0.108,1,0.087,0,0,0,0,0,529,2,0,0,1,93.994,-36.4,4.857,5191,0
39,0.157,1,0.138,0,1,1,0,0,192,1,0,0,1,93.994,-36.4,4.857,5191,0
49,0.108,1,0.087,0,0,0,0,0,1467,1,0,0,1,93.994,-36.4,4.857,5191,1
34,0.157,1,0.11,0,1,0,0,0,188,2,0,0,1,93.994,-36.4,4.857,5191,0
35,0.157,1,0.138,0,1,0,0,0,180,2,0,0,1,93.994,-36.4,4.857,5191,0
57,0.108,1,0.138,1,1,0,0,0,48,1,0,0,1,93.994,-36.4,4.857,5191,0
60,0.157,1,0.138,1,0,1,0,0,213,2,0,0,1,93.994,-36.4,4.857,5191,0
33,0.157,1,0.087,0,0,0,0,0,545,1,0,0,1,93.994,-36.4,4.857,5191,0
42,0.074,1,0.087,0,0,1,0,0,583,1,0,0,1,93.994,-36.4,4.857,5191,0
45,0.074,1,0.11,0,1,0,0,0,221,1,0,0,1,93.994,-36.4,4.857,5191,0
