age,job,marital,education,default,housing,loan,contact,day_of_week,duration,campaign,previous,emp.var.rate,poutcome,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
30,0.074,1,0.087,0,1,0,1,0,487,2,0,1,1,92.893,-46.2,1.313,5099.1,0
39,0.074,0,0.11,0,0,0,0,0,346,4,0,0,1,93.994,-36.4,4.855,5191,0
25,0.074,1,0.11,0,1,0,0,1,227,1,0,0,1,94.465,-41.8,4.962,5228.1,0
38,0.074,1,0.087,0,0,1,0,0,17,3,0,0,1,94.465,-41.8,4.959,5228.1,0
47,0.157,1,0.138,0,1,0,1,0,58,1,0,0,1,93.2,-42,4.191,5195.8,0
32,0.074,0,0.138,0,0,0,1,1,128,3,2,1,0,94.199,-37.5,0.884,4963.6,0
32,0.157,0,0.138,0,1,0,1,0,290,4,0,1,1,94.199,-37.5,0.879,4963.6,0
41,0.074,1,0.138,1,1,0,1,0,44,2,0,0,1,93.2,-42,4.191,5195.8,0
31,0.074,1,0.11,0,0,0,1,1,68,1,1,0,0,93.2,-42,4.153,5195.8,0
35,0.074,1,0.087,1,0,0,0,1,170,1,0,0,1,93.994,-36.4,4.855,5191,0
25,0.074,0,0.087,1,1,0,1,1,301,1,0,0,1,93.918,-42.7,4.958,5228.1,0
36,0.108,0,0.087,0,0,0,1,1,148,1,0,0,1,93.918,-42.7,4.968,5228.1,0
36,0.157,1,0.11,0,0,0,0,1,97,2,0,0,1,93.994,-36.4,4.859,5191,0
47,0.074,1,0.087,0,1,0,0,1,211,2,0,0,1,94.465,-41.8,4.958,5228.1,0
29,0.157,0,0.11,0,0,0,1,0,553,2,0,1,1,92.893,-46.2,1.313,5099.1,0
27,0.074,0,0.138,0,0,0,1,1,698,2,0,0,1,93.918,-42.7,4.963,5228.1,0
44,0.157,1,0.138,0,0,0,1,1,191,6,0,0,1,93.918,-42.7,4.957,5228.1,0
46,0.157,1,0.138,0,1,0,0,0,59,4,0,0,1,93.918,-42.7,4.962,5228.1,0
45,0.074,1,0.138,1,1,1,1,0,38,2,0,0,1,93.444,-36.1,4.965,5228.1,0
50,0.074,1,0.087,0,0,1,1,1,849,1,0,0,1,93.918,-42.7,4.961,5228.1,1
55,0.074,1,0.087,1,1,0,1,1,326,6,0,0,1,93.918,-42.7,4.962,5228.1,0
39,0.108,1,0.11,0,0,0,1,0,222,1,2,1,1,93.369,-34.8,0.639,5008.7,1
29,0.108,0,0.138,0,1,1,1,1,626,3,0,0,1,93.444,-36.1,4.967,5228.1,0
40,0.108,1,0.11,0,0,1,1,1,119,1,0,0,1,93.444,-36.1,4.965,5228.1,0
44,0.108,1,0.11,1,1,0,0,0,388,7,0,0,1,93.994,-36.4,4.864,5191,0
38,0.108,1,0.11,0,1,0,1,0,479,1,0,0,1,93.444,-36.1,4.965,5228.1,1
36,0.108,1,0.11,0,0,0,0,1,446,1,0,0,1,93.994,-36.4,4.856,5191,0
28,0.074,1,0.087,1,0,0,1,0,68,2,1,1,0,92.893,-46.2,1.299,5099.1,0
47,0.157,0,0.138,1,0,0,0,1,127,1,0,0,1,93.994,-36.4,4.86,5191,0
34,0.157,1,0.138,0,0,0,1,1,109,1,0,0,1,93.444,-36.1,4.963,5228.1,0
38,0.108,1,0.138,0,1,1,1,1,113,1,1,1,0,92.843,-50,1.687,5099.1,0
33,0.074,1,0.11,1,1,0,0,0,393,3,0,0,1,94.465,-41.8,4.865,5228.1,0
51,0.108,0,0.138,0,0,0,1,0,151,2,0,1,1,92.963,-40.8,1.268,5076.2,0
30,0.074,0,0.087,1,1,0,0,1,256,1,0,0,1,94.465,-41.8,4.864,5228.1,0
48,0.108,1,0.138,0,0,0,1,1,42,7,0,0,1,93.444,-36.1,4.962,5228.1,0
28,0.074,0,0.087,0,1,0,0,1,525,1,0,0,1,94.465,-41.8,4.864,5228.1,0
36,0.074,1,0.087,0,1,0,0,1,57,1,0,0,1,93.994,-36.4,4.859,5191,0
46,0.108,1,0.11,0,0,0,1,1,499,1,0,0,1,93.2,-42,4.12,5195.8,0
31,0.108,0,0.138,0,1,0,1,1,84,1,1,1,0,92.893,-46.2,1.334,5099.1,0
20,0.157,0,0.138,0,0,0,1,0,137,3,3,1,0,94.601,-49.5,0.977,4963.6,0
35,0.074,1,0.11,1,1,0,1,1,31,1,0,1,1,92.893,-46.2,1.344,5099.1,0
38,0.074,1,0.087,1,0,1,0,0,430,1,0,0,1,94.465,-41.8,4.967,5228.1,0
76,0.157,1,0.138,0,0,0,1,1,126,1,1,1,0,94.027,-38.3,0.899,4991.6,0
45,0.074,1,0.11,0,1,0,1,1,211,3,0,0,1,93.918,-42.7,4.961,5228.1,0
32,0.108,1,0.087,0,1,1,1,0,340,1,0,1,1,92.893,-46.2,1.313,5099.1,0
39,0.108,0,0.138,1,0,0,1,1,412,2,0,1,1,92.893,-46.2,1.327,5099.1,0
32,0.157,1,0.138,0,0,0,0,1,132,1,0,0,1,93.2,-42,4.592,5195.8,0
29,0.157,0,0.087,0,0,0,1,0,79,2,0,1,1,92.893,-46.2,1.299,5099.1,0
44,0.074,1,0.11,0,0,0,1,0,341,2,0,0,1,93.444,-36.1,4.97,5228.1,0
32,0.074,1,0.11,0,0,1,1,0,157,3,0,0,1,93.918,-42.7,4.957,5228.1,0
56,0.157,1,0.138,0,1,0,1,1,252,1,2,1,0,92.963,-40.8,1.26,5076.2,0
33,0.074,1,0.087,0,1,0,1,1,263,1,0,1,1,92.893,-46.2,1.327,5099.1,0
39,0.108,1,0.11,0,0,0,1,0,215,3,0,0,1,93.444,-36.1,4.966,5228.1,0
24,0.108,1,0.138,0,1,1,1,1,89,2,1,1,1,92.379,-29.8,0.77,5017.5,1
33,0.157,0,0.138,0,1,0,1,1,143,1,0,1,1,92.893,-46.2,1.327,5099.1,0
58,0.074,1,0.138,0,0,0,0,1,40,2,0,0,1,94.465,-41.8,4.866,5228.1,0
29,0.157,0,0.138,0,1,0,0,0,10,27,0,0,1,94.465,-41.8,4.959,5228.1,0
31,0.157,1,0.138,0,1,0,1,1,113,1,0,0,1,93.444,-36.1,4.964,5228.1,0
27,0.157,1,0.138,0,0,0,0,1,191,5,0,0,1,93.994,-36.4,4.857,5191,0
